ip.src,ip.dst,ip.proto,ip.checksum,tcp.srcport,tcp.dstport,tcp.flags,frame.len,frame.time_epoch
,,,,,,,"60","1717611729.767071000"
,,,,,,,"42","1717611730.803491000"
,,,,,,,"60","1717611730.804154000"
,,,,,,,"60","1717611731.305833000"
"10.117.77.115","13.85.23.86","6","0x0000","61713","443","0x0018","265","1717611731.314751000"
"10.117.77.116","10.117.77.255","17","0x3ed8",,,,"60","1717611734.322821000"
"10.117.77.116","10.117.77.255","17","0x3ed7",,,,"60","1717611734.322821000"
"10.117.77.116","10.117.77.255","17","0x3ed6",,,,"60","1717611734.322821000"
"10.117.77.116","10.117.77.255","17","0x3ed5",,,,"60","1717611734.322821000"
,,,,,,,"60","1717611734.488031000"
,,,,,,,"42","1717611734.488066000"
"10.117.77.120","10.117.77.115","6","0x6b37","2026","80","0x0002","60","1717611734.488441000"
"10.117.77.120","10.117.77.115","6","0xedeb","2027","80","0x0002","60","1717611734.488441000"
"10.117.77.120","10.117.77.115","6","0x6940","2030","80","0x0002","60","1717611734.488441000"
"10.117.77.120","10.117.77.115","6","0xf6f7","2031","80","0x0002","60","1717611734.488441000"
"10.117.77.120","10.117.77.115","6","0xff88","2032","80","0x0002","60","1717611734.488441000"
"10.117.77.120","10.117.77.115","6","0x3280","2033","80","0x0002","60","1717611734.488441000"
"10.117.77.120","10.117.77.115","6","0x598c","2023","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0x10b2","2024","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0xd08d","2025","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0x3a12","2086","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0x5dec","2028","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0x0d8e","2029","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0xe796","2087","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0xf29e","2034","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0x0da8","2035","80","0x0002","60","1717611734.488470000"
"10.117.77.120","10.117.77.115","6","0x8dae","2036","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x91a1","2037","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x7b1c","2042","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xe3e3","2043","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x62e6","2046","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x7641","2047","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x6750","2050","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x53f5","2051","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x140a","2054","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xb83e","2055","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xf964","2056","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x77ba","2057","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x2eda","2060","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x09e8","2061","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x83be","2066","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x0af5","2073","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xc1ef","2067","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x76fb","2070","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x689e","2071","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x09e6","2072","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x193b","2076","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xde92","2077","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0x4143","2080","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xcdf2","2081","80","0x0002","60","1717611734.488824000"
"10.117.77.120","10.117.77.115","6","0xbfad","2038","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x89a5","2039","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xe488","2040","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x1e19","2041","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x2c70","2044","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xdd9c","2045","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xf3d7","2048","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x4345","2049","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x4c0a","2052","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x0736","2053","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x562e","2058","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x27b3","2059","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xe4d8","2062","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xf43b","2063","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x9f94","2064","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x0e86","2065","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x8fbf","2068","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xe1df","2069","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x84b2","2074","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xd893","2075","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xd3e1","2078","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x2204","2079","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x510f","2082","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0x4ba5","2083","80","0x0002","60","1717611734.488858000"
"10.117.77.120","10.117.77.115","6","0xf9ef","2084","80","0x0002","60","1717611734.489219000"
"10.117.77.120","10.117.77.115","6","0xa4fe","2085","80","0x0002","60","1717611734.489219000"
